지역,지역명,μSv/h,μR/h,상태
[국가망]경상북도,양북,0.098,10.1,정상
[국가망]경상북도,내남,0.141,14.5,정상
[국가망]경상북도,포항대송,0.111,11.4,정상
[국가망]경상북도,금강송왕피,0.123,12.6,정상
[국가망]경상북도,봉화석포,0.137,14.1,정상
[국가망]경상북도,봉화승부,0.105,10.8,정상
[국가망]경상북도,금강송소광,0.138,14.2,정상
[국가망]전라남도,홍농,0.133,13.7,정상
[국가망]전라남도,목포,0.115,11.8,정상
[국가망]전라남도,여수,0.085,8.7,정상
[국가망]전라남도,완도,0.096,9.9,정상
[국가망]전라남도,무안,0.124,12.7,정상
[국가망]전라남도,고흥,0.102,10.5,정상
[국가망]전라남도,해남,0.108,11.1,정상
[국가망]전라남도,진도,0.078,8,정상
[국가망]전라남도,가거도,0.125,12.8,정상
[국가망]전라남도,거문도,0.09,9.3,정상
[국가망]전라남도,홍도,0.09,9.2,정상
[국가망]전라남도,영광방재센터,0.126,13,정상
[국가망]전라남도,낙월,0.102,10.5,정상
[국가망]전라남도,장성,0.135,13.9,정상
[국가망]전라북도,군산,0.135,13.9,정상
[국가망]전라북도,전주,0.101,10.4,정상
[국가망]전라북도,고창,0.121,12.4,정상
[국가망]전라북도,남원,0.105,10.8,정상
[국가망]전라북도,정읍,0.114,11.7,정상
[국가망]전라북도,부안,0.109,11.2,정상
[국가망]전라북도,덕유산,0.139,14.3,정상
[국가망]전라북도,위도,0.113,11.6,정상
[국가망]전라북도,변산,0.115,11.8,정상
[국가망]전라북도,동호,0.113,11.6,정상
[국가망]전라북도,심원,0.108,11.1,정상
[국가망]전라북도,해리,0.124,12.7,정상
[국가망]전라북도,무장,0.158,16.2,정상
[국가망]전라북도,대산,0.108,11.1,정상
[국가망]전라북도,부안봉암,0.115,11.8,정상
[국가망]제주도,제주,0.087,8.9,정상
[국가망]제주도,서귀포,0.073,7.5,정상
[국가망]제주도,고산,0.062,6.4,정상
[국가망]제주도,마라도,0.075,7.7,정상
[국가망]제주도,이어도,0.038,3.9,정상
[국가망]제주도,추자도,0.111,11.4,정상
[국가망]제주도,한라산,-,-,점검중
[국가망]제주도,강정,0.075,7.7,정상
