지역,지역명,지역코드,μSv/h,μR/h,상태
[국가망]경상북도,청송,NULL,0.088,9,정상
[국가망]경상북도,봉화,271,0.106,10.9,정상
[국가망]경상북도,영천,281,0.102,10.5,정상
[국가망]경상북도,독도,NULL,0.095,9.8,정상
[국가망]경상북도,월성방재센터,NULL,0.097,10,정상
[국가망]경상북도,울진방재센터,130,0.113,11.6,정상
[국가망]경상북도,영양,NULL,0.1,10.3,정상
[국가망]경상북도,매화,NULL,0.103,10.6,정상
[국가망]경상북도,두천,NULL,0.144,14.8,정상
[국가망]경상북도,울진,130,0.13,13.4,정상
[국가망]경상북도,금강송,NULL,0.085,8.7,정상
[국가망]경상북도,광회,NULL,0.16,16.4,정상
[국가망]경상북도,감포,NULL,0.093,9.6,정상
[국가망]경상북도,양북,NULL,0.098,10.1,정상
[국가망]경상북도,내남,NULL,0.141,14.5,정상
[국가망]경상북도,포항대송,138,0.111,11.4,정상
[국가망]경상북도,금강송왕피,NULL,0.123,12.6,정상
[국가망]경상북도,봉화석포,271,0.137,14.1,정상
[국가망]경상북도,봉화승부,271,0.105,10.8,정상
[국가망]경상북도,금강송소광,NULL,0.138,14.2,정상
[국가망]전라남도,홍농,NULL,0.133,13.7,정상
[국가망]전라남도,목포,165,0.115,11.8,정상
[국가망]전라남도,여수,168,0.085,8.7,정상
[국가망]전라남도,완도,170,0.096,9.9,정상
[국가망]전라남도,무안,164,0.124,12.7,정상
[국가망]전라남도,고흥,262,0.102,10.5,정상
[국가망]전라남도,해남,261,0.108,11.1,정상
[국가망]전라남도,진도,NULL,0.078,8,정상
[국가망]전라남도,가거도,NULL,0.125,12.8,정상
[국가망]전라남도,거문도,NULL,0.09,9.3,정상
[국가망]전라남도,홍도,NULL,0.09,9.2,정상
[국가망]전라남도,영광방재센터,NULL,0.126,13,정상
[국가망]전라남도,낙월,NULL,0.102,10.5,정상
[국가망]전라남도,장성,NULL,0.135,13.9,정상
[국가망]전라북도,군산,140,0.135,13.9,정상
[국가망]전라북도,전주,146,0.101,10.4,정상
[국가망]전라북도,고창,172,0.121,12.4,정상
[국가망]전라북도,남원,247,0.105,10.8,정상
[국가망]전라북도,정읍,245,0.114,11.7,정상
[국가망]전라북도,부안,243,0.109,11.2,정상
[국가망]전라북도,덕유산,NULL,0.139,14.3,정상
[국가망]전라북도,위도,NULL,0.113,11.6,정상
[국가망]전라북도,변산,NULL,0.115,11.8,정상
[국가망]전라북도,동호,NULL,0.113,11.6,정상
[국가망]전라북도,심원,NULL,0.108,11.1,정상
[국가망]전라북도,해리,NULL,0.124,12.7,정상
[국가망]전라북도,무장,NULL,0.158,16.2,정상
[국가망]전라북도,대산,NULL,0.108,11.1,정상
[국가망]전라북도,부안봉암,243,0.115,11.8,정상
[국가망]제주도,제주,184,0.087,8.9,정상
[국가망]제주도,서귀포,189,0.073,7.5,정상
[국가망]제주도,고산,185,0.062,6.4,정상
[국가망]제주도,마라도,NULL,0.075,7.7,정상
[국가망]제주도,이어도,NULL,0.038,3.9,정상
[국가망]제주도,추자도,NULL,0.111,11.4,정상
[국가망]제주도,한라산,NULL,-,-,점검중
[국가망]제주도,강정,NULL,0.075,7.7,정상
